pid,display_pid,alias,image,floral_language,origin,production,category,blooming,color,size,soil,sunlight,watering,fertilization,pruning,max_light_mmol,min_light_mmol,max_light_lux,min_light_lux,max_temp,min_temp,max_env_humid,min_env_humid,max_soil_moist,min_soil_moist,max_soil_ec,min_soil_ec
abelia chinensis,Abelia chinensis,chinese abelia,http://pkb.resource.huahuacaocao.com/YWJlbGlhIGNoaW5lbnNpcy5qcGc=?imageView2/1/w/%d/h/%d,,China,China,"Caprifoliaceae, Abelia","Flowering period July-August, fruiting period October","Flower color pink, white","Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Like sunshine, slightly resistant to half shade","Water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove dead, rotten, diseased leaves and the parts that may affect the good appearance",4500,2500,30000,3500,35,8,85,30,60,15,2000,350
abelia dielsii,Abelia dielsii,abelia dielsii,http://pkb.resource.huahuacaocao.com/YWJlbGlhIGRpZWxzaWkuanBn?imageView2/1/w/%d/h/%d,,China,Northern China,"Caprifoliaceae, Abelia","Flowering period May, fruiting period August-September","Flower color white, light red","Diameter â¥ 15 cm, height â¥ 25 cm",Acidic soil with loose texture or soil with specific nutrients,"Like sunshine, resistant to half shade","Water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove dead, rotten, diseased leaves and the parts that may affect the good appearance",4000,2000,20000,3500,35,5,80,30,60,15,2000,350
abelia x,Abelia x,abelia x,http://pkb.resource.huahuacaocao.com/YWJlbGlhIHguanBn?imageView2/1/w/%d/h/%d,,China,Northern China,"Caprifoliaceae, Abelia","Flowering period May, fruiting period August-September","Flower color white, light red","Diameter â¥ 15 cm, height â¥ 25 cm",Acidic soil with loose texture or soil with specific nutrients,"Like sunshine, resistant to half shade","Water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove dead, rotten, diseased leaves and the parts that may affect the good appearance",4000,2000,20000,3500,35,5,80,30,60,15,2000,350
abelia x grandiflora,Abelia x grandiflora,abelia x,http://pkb.resource.huahuacaocao.com/YWJlbGlhIHggZ3JhbmRpZmxvcmEuanBn?imageView2/1/w/%d/h/%d,,China,Northern China,"Caprifoliaceae, Abelia","Flowering period May, fruiting period August-September","Flower color white, light red","Diameter â¥ 15 cm, height â¥ 25 cm",Acidic soil with loose texture or soil with specific nutrients,"Like sunshine, resistant to half shade","Water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove dead, rotten, diseased leaves and the parts that may affect the good appearance",4000,2000,20000,3500,35,5,80,30,60,15,2000,350
abelmoschus esculentus,Abelmoschus esculentus,abelmoschus esculentus,http://pkb.resource.huahuacaocao.com/YWJlbG1vc2NodXMgZXNjdWxlbnR1cy5qcGc=?imageView2/1/w/%d/h/%d,,"Africa, Tropical Asia",China,"Malvaceae, Abelmoschus",Flowering period June-October,"Flower color from white to yellow, bottom in red or with purple dots","Diameter â¥ 15 cm, height â¥ 25 cm",Peat or soil with specific nutrients,"Like sunshine, grows in sunny places","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead, rotten, diseased leaves timely",6500,3300,55000,4000,35,10,80,30,60,15,2000,350
abelmoschus esculentus (linn.) moench,Abelmoschus esculentus (Linn.) Moench,abelmoschus esculentus,http://pkb.resource.huahuacaocao.com/YWJlbG1vc2NodXMgZXNjdWxlbnR1cyAobGlubi4pIG1vZW5jaC5qcGc=?imageView2/1/w/%d/h/%d,,"Africa, Tropical Asia",China,"Malvaceae, Abelmoschus",Flowering period June-October,"Flower color from white to yellow, bottom in red or with purple dots","Diameter â¥ 15 cm, height â¥ 25 cm",Peat or soil with specific nutrients,"Like sunshine, grows in sunny places","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead, rotten, diseased leaves timely",6500,3300,55000,4000,35,10,80,30,60,15,2000,350
abelmoschus moschatus,Abelmoschus moschatus,abelmoschus moschatus,http://pkb.resource.huahuacaocao.com/YWJlbG1vc2NodXMgbW9zY2hhdHVzLmpwZw==?imageView2/1/w/%d/h/%d,,"China, Vietnam, Laos",China,"Malvaceae, Lavatera",Flowering period June-October,Flower color yellow,"Diameter â¥ 10 cm, height 15-18 cm",Sandy loam,"Like strong light, not resistant to shade","Water thoroughly when soil is dry, avoid saturated water",Top-dressing once every 10-15 days,Cut side shoots timely once they initiate,6000,4000,60000,3700,35,5,80,30,60,15,2000,350
abelmoschus sagittifolius,Abelmoschus sagittifolius,abelmoschus sagittifolius,http://pkb.resource.huahuacaocao.com/YWJlbG1vc2NodXMgc2FnaXR0aWZvbGl1cy5qcGc=?imageView2/1/w/%d/h/%d,,Asia,China,"Malvaceae, Abelmoschus",Flowering period5-9æ,Flower color redãyellowãorange,Diameterâ¥15cmï¼Heightâ¥25cm,Peat or soil with specific nutrients,Enjoy sufficient sunlight,Water thoroughly when soil surface is dry,"Dilute fertilizers following instructions, apply once monthly in spring and autumn","Remove old, diseased and dead leaves timely",7200,3100,55000,2200,35,10,80,30,60,15,2000,350
abies amabilis,Abies amabilis,abies amabilis,http://pkb.resource.huahuacaocao.com/YWJpZXMgYW1hYmlsaXMuanBn?imageView2/1/w/%d/h/%d,,China,Southwestern China,"Pinaceae, Abies","Flowering period May, fruiting period October","Leaf color green , fruit color dark black, light blue black","Diameter â¥ 15 cm, height â¥ 30 cm",Peat or soil with specific nutrients,"Like sunshine, relatively strong resistant to shade","Likes wet environments, water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly",Pruning accordingly for any favorate tree shapes,6000,2400,35000,1000,35,6,80,30,60,15,2000,350
abies balsamea,Abies balsamea,abies balsamea,http://pkb.resource.huahuacaocao.com/YWJpZXMgYmFsc2FtZWEuanBn?imageView2/1/w/%d/h/%d,,China,Southwestern China,"Pinaceae, Abies","Flowering period May, fruiting period October",Leaf color green,"Diameter â¥ 15 cm, height â¥ 30 cm",Peat or soil with specific nutrients,"Like sunshine, slight shade tolerance","Likes wet environments, water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly",Pruning accordingly for any favorate tree shapes,6000,2400,35000,1000,35,6,80,30,60,15,2000,350
